textbox2
Australia

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,8,0,AH1,,AH1N12009,4,AH3,18,ANOTSUBTYPED,15,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,16
AH5,2018,9,0,AH1,,AH1N12009,5,AH3,13,ANOTSUBTYPED,5,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,14
AH5,2018,10,0,AH1,,AH1N12009,4,AH3,14,ANOTSUBTYPED,9,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,5
AH5,2018,11,0,AH1,,AH1N12009,7,AH3,8,ANOTSUBTYPED,1,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,6
AH5,2018,12,0,AH1,,AH1N12009,8,AH3,8,ANOTSUBTYPED,2,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,10
AH5,2018,13,0,AH1,,AH1N12009,11,AH3,8,ANOTSUBTYPED,3,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,3
AH5,2018,14,0,AH1,,AH1N12009,8,AH3,6,ANOTSUBTYPED,9,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,7
AH5,2018,15,0,AH1,,AH1N12009,5,AH3,6,ANOTSUBTYPED,3,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,16,0,AH1,,AH1N12009,7,AH3,3,ANOTSUBTYPED,10,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,3
AH5,2018,17,0,AH1,,AH1N12009,8,AH3,5,ANOTSUBTYPED,3,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,18,0,AH1,,AH1N12009,10,AH3,5,ANOTSUBTYPED,11,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,5
AH5,2018,19,0,AH1,,AH1N12009,6,AH3,12,ANOTSUBTYPED,10,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,4
AH5,2018,20,0,AH1,,AH1N12009,6,AH3,6,ANOTSUBTYPED,17,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,4
AH5,2018,21,0,AH1,,AH1N12009,5,AH3,1,ANOTSUBTYPED,12,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,6
AH5,2018,22,0,AH1,,AH1N12009,11,AH3,2,ANOTSUBTYPED,7,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,4
AH5,2018,23,0,AH1,,AH1N12009,12,AH3,8,ANOTSUBTYPED,5,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,24,0,AH1,,AH1N12009,27,AH3,3,ANOTSUBTYPED,7,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,7
AH5,2018,25,0,AH1,,AH1N12009,24,AH3,2,ANOTSUBTYPED,13,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,26,0,AH1,,AH1N12009,41,AH3,6,ANOTSUBTYPED,23,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,27,0,AH1,,AH1N12009,48,AH3,9,ANOTSUBTYPED,7,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,3
AH5,2018,28,0,AH1,,AH1N12009,66,AH3,7,ANOTSUBTYPED,16,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,7
AH5,2018,29,0,AH1,,AH1N12009,44,AH3,5,ANOTSUBTYPED,21,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,3
AH5,2018,30,0,AH1,,AH1N12009,44,AH3,5,ANOTSUBTYPED,31,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,8
