textbox2
Brazil

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,11,,AH1,,AH1N12009,31,AH3,24,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,,BNOTDETERMINED,6
AH5,2018,12,,AH1,,AH1N12009,44,AH3,25,ANOTSUBTYPED,,BYAMAGATA,1,BVICTORIA,,BNOTDETERMINED,10
AH5,2018,13,,AH1,,AH1N12009,152,AH3,13,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,2,BNOTDETERMINED,2
AH5,2018,14,,AH1,,AH1N12009,241,AH3,33,ANOTSUBTYPED,,BYAMAGATA,3,BVICTORIA,2,BNOTDETERMINED,5
AH5,2018,15,,AH1,,AH1N12009,200,AH3,49,ANOTSUBTYPED,,BYAMAGATA,3,BVICTORIA,1,BNOTDETERMINED,9
AH5,2018,16,,AH1,,AH1N12009,190,AH3,63,ANOTSUBTYPED,1,BYAMAGATA,2,BVICTORIA,1,BNOTDETERMINED,18
AH5,2018,17,,AH1,,AH1N12009,190,AH3,58,ANOTSUBTYPED,,BYAMAGATA,9,BVICTORIA,1,BNOTDETERMINED,17
AH5,2018,18,,AH1,,AH1N12009,154,AH3,82,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,2,BNOTDETERMINED,11
AH5,2018,19,,AH1,,AH1N12009,277,AH3,109,ANOTSUBTYPED,1,BYAMAGATA,7,BVICTORIA,1,BNOTDETERMINED,13
AH5,2018,20,,AH1,,AH1N12009,446,AH3,105,ANOTSUBTYPED,,BYAMAGATA,4,BVICTORIA,,BNOTDETERMINED,13
AH5,2018,21,,AH1,,AH1N12009,170,AH3,101,ANOTSUBTYPED,2,BYAMAGATA,4,BVICTORIA,1,BNOTDETERMINED,16
AH5,2018,22,,AH1,,AH1N12009,316,AH3,70,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,3,BNOTDETERMINED,4
AH5,2018,23,,AH1,,AH1N12009,443,AH3,74,ANOTSUBTYPED,,BYAMAGATA,4,BVICTORIA,1,BNOTDETERMINED,9
AH5,2018,24,,AH1,,AH1N12009,195,AH3,94,ANOTSUBTYPED,,BYAMAGATA,1,BVICTORIA,3,BNOTDETERMINED,5
AH5,2018,25,,AH1,,AH1N12009,345,AH3,83,ANOTSUBTYPED,1,BYAMAGATA,5,BVICTORIA,3,BNOTDETERMINED,11
AH5,2018,26,,AH1,,AH1N12009,256,AH3,87,ANOTSUBTYPED,,BYAMAGATA,3,BVICTORIA,1,BNOTDETERMINED,7
AH5,2018,27,,AH1,,AH1N12009,202,AH3,96,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,2,BNOTDETERMINED,5
AH5,2018,28,,AH1,,AH1N12009,143,AH3,70,ANOTSUBTYPED,,BYAMAGATA,4,BVICTORIA,3,BNOTDETERMINED,5
AH5,2018,29,,AH1,,AH1N12009,143,AH3,56,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,1,BNOTDETERMINED,6
AH5,2018,30,,AH1,,AH1N12009,88,AH3,33,ANOTSUBTYPED,,BYAMAGATA,3,BVICTORIA,4,BNOTDETERMINED,14
AH5,2018,31,,AH1,,AH1N12009,43,AH3,22,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,4,BNOTDETERMINED,6
AH5,2018,32,,AH1,,AH1N12009,26,AH3,16,ANOTSUBTYPED,,BYAMAGATA,4,BVICTORIA,3,BNOTDETERMINED,8
AH5,2018,33,,AH1,,AH1N12009,21,AH3,18,ANOTSUBTYPED,,BYAMAGATA,3,BVICTORIA,1,BNOTDETERMINED,1
AH5,2018,34,,AH1,,AH1N12009,21,AH3,11,ANOTSUBTYPED,1,BYAMAGATA,6,BVICTORIA,1,BNOTDETERMINED,0
AH5,2018,35,,AH1,,AH1N12009,11,AH3,12,ANOTSUBTYPED,,BYAMAGATA,4,BVICTORIA,5,BNOTDETERMINED,0
AH5,2018,36,,AH1,,AH1N12009,10,AH3,8,ANOTSUBTYPED,,BYAMAGATA,6,BVICTORIA,8,BNOTDETERMINED,1
AH5,2018,37,,AH1,,AH1N12009,8,AH3,5,ANOTSUBTYPED,1,BYAMAGATA,6,BVICTORIA,14,BNOTDETERMINED,0
AH5,2018,38,,AH1,,AH1N12009,6,AH3,5,ANOTSUBTYPED,,BYAMAGATA,12,BVICTORIA,4,BNOTDETERMINED,13
AH5,2018,39,,AH1,,AH1N12009,8,AH3,10,ANOTSUBTYPED,,BYAMAGATA,9,BVICTORIA,2,BNOTDETERMINED,16
AH5,2018,40,,AH1,,AH1N12009,5,AH3,5,ANOTSUBTYPED,,BYAMAGATA,4,BVICTORIA,5,BNOTDETERMINED,7
AH5,2018,41,,AH1,,AH1N12009,6,AH3,3,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,2,BNOTDETERMINED,10
AH5,2018,42,,AH1,,AH1N12009,6,AH3,4,ANOTSUBTYPED,,BYAMAGATA,1,BVICTORIA,5,BNOTDETERMINED,15
AH5,2018,43,,AH1,,AH1N12009,1,AH3,5,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,8,BNOTDETERMINED,6
AH5,2018,44,,AH1,,AH1N12009,1,AH3,3,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,2,BNOTDETERMINED,2
AH5,2018,45,,AH1,,AH1N12009,,AH3,7,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,18,BNOTDETERMINED,4
AH5,2018,46,,AH1,,AH1N12009,2,AH3,2,ANOTSUBTYPED,,BYAMAGATA,8,BVICTORIA,9,BNOTDETERMINED,4
AH5,2018,47,,AH1,,AH1N12009,,AH3,7,ANOTSUBTYPED,,BYAMAGATA,10,BVICTORIA,8,BNOTDETERMINED,16
