textbox2
China

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,8,0,AH1,,AH1N12009,2024,AH3,217,ANOTSUBTYPED,8,BYAMAGATA,990,BVICTORIA,67,BNOTDETERMINED,1404
AH5,2018,9,0,AH1,,AH1N12009,1552,AH3,171,ANOTSUBTYPED,1,BYAMAGATA,749,BVICTORIA,77,BNOTDETERMINED,989
AH5,2018,10,0,AH1,,AH1N12009,1543,AH3,155,ANOTSUBTYPED,13,BYAMAGATA,741,BVICTORIA,76,BNOTDETERMINED,652
AH5,2018,11,0,AH1,,AH1N12009,1241,AH3,113,ANOTSUBTYPED,2,BYAMAGATA,560,BVICTORIA,48,BNOTDETERMINED,372
AH5,2018,12,0,AH1,,AH1N12009,895,AH3,89,ANOTSUBTYPED,0,BYAMAGATA,391,BVICTORIA,38,BNOTDETERMINED,212
AH5,2018,13,0,AH1,,AH1N12009,602,AH3,70,ANOTSUBTYPED,3,BYAMAGATA,272,BVICTORIA,26,BNOTDETERMINED,117
AH5,2018,14,0,AH1,,AH1N12009,359,AH3,38,ANOTSUBTYPED,1,BYAMAGATA,124,BVICTORIA,14,BNOTDETERMINED,51
AH5,2018,15,0,AH1,,AH1N12009,296,AH3,33,ANOTSUBTYPED,1,BYAMAGATA,114,BVICTORIA,19,BNOTDETERMINED,29
AH5,2018,16,0,AH1,,AH1N12009,233,AH3,26,ANOTSUBTYPED,1,BYAMAGATA,69,BVICTORIA,21,BNOTDETERMINED,16
AH5,2018,17,0,AH1,,AH1N12009,211,AH3,29,ANOTSUBTYPED,0,BYAMAGATA,47,BVICTORIA,12,BNOTDETERMINED,10
AH5,2018,18,0,AH1,,AH1N12009,163,AH3,23,ANOTSUBTYPED,0,BYAMAGATA,32,BVICTORIA,21,BNOTDETERMINED,9
AH5,2018,19,0,AH1,,AH1N12009,127,AH3,21,ANOTSUBTYPED,0,BYAMAGATA,33,BVICTORIA,9,BNOTDETERMINED,8
AH5,2018,20,0,AH1,,AH1N12009,119,AH3,17,ANOTSUBTYPED,1,BYAMAGATA,15,BVICTORIA,11,BNOTDETERMINED,13
AH5,2018,21,0,AH1,,AH1N12009,99,AH3,23,ANOTSUBTYPED,1,BYAMAGATA,10,BVICTORIA,12,BNOTDETERMINED,9
AH5,2018,22,0,AH1,,AH1N12009,94,AH3,17,ANOTSUBTYPED,0,BYAMAGATA,29,BVICTORIA,10,BNOTDETERMINED,2
AH5,2018,23,0,AH1,,AH1N12009,88,AH3,16,ANOTSUBTYPED,0,BYAMAGATA,8,BVICTORIA,4,BNOTDETERMINED,3
AH5,2018,24,0,AH1,,AH1N12009,110,AH3,9,ANOTSUBTYPED,0,BYAMAGATA,7,BVICTORIA,2,BNOTDETERMINED,6
AH5,2018,25,0,AH1,,AH1N12009,107,AH3,12,ANOTSUBTYPED,1,BYAMAGATA,24,BVICTORIA,7,BNOTDETERMINED,0
AH5,2018,26,0,AH1,,AH1N12009,66,AH3,12,ANOTSUBTYPED,0,BYAMAGATA,7,BVICTORIA,2,BNOTDETERMINED,3
AH5,2018,27,0,AH1,,AH1N12009,83,AH3,38,ANOTSUBTYPED,0,BYAMAGATA,20,BVICTORIA,8,BNOTDETERMINED,8
AH5,2018,28,0,AH1,,AH1N12009,139,AH3,21,ANOTSUBTYPED,0,BYAMAGATA,8,BVICTORIA,3,BNOTDETERMINED,3
AH5,2018,29,0,AH1,,AH1N12009,140,AH3,20,ANOTSUBTYPED,0,BYAMAGATA,8,BVICTORIA,2,BNOTDETERMINED,4
AH5,2018,30,0,AH1,,AH1N12009,132,AH3,20,ANOTSUBTYPED,0,BYAMAGATA,1,BVICTORIA,3,BNOTDETERMINED,2
AH5,2018,31,0,AH1,,AH1N12009,111,AH3,4,ANOTSUBTYPED,0,BYAMAGATA,2,BVICTORIA,5,BNOTDETERMINED,0
AH5,2018,32,0,AH1,,AH1N12009,92,AH3,19,ANOTSUBTYPED,0,BYAMAGATA,3,BVICTORIA,1,BNOTDETERMINED,2
AH5,2018,33,0,AH1,,AH1N12009,132,AH3,30,ANOTSUBTYPED,0,BYAMAGATA,6,BVICTORIA,0,BNOTDETERMINED,1
AH5,2018,34,0,AH1,,AH1N12009,123,AH3,24,ANOTSUBTYPED,0,BYAMAGATA,2,BVICTORIA,2,BNOTDETERMINED,0
AH5,2018,35,0,AH1,,AH1N12009,105,AH3,46,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,3,BNOTDETERMINED,0
AH5,2018,36,0,AH1,,AH1N12009,112,AH3,69,ANOTSUBTYPED,0,BYAMAGATA,2,BVICTORIA,2,BNOTDETERMINED,3
AH5,2018,37,0,AH1,,AH1N12009,269,AH3,191,ANOTSUBTYPED,0,BYAMAGATA,2,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,38,0,AH1,,AH1N12009,132,AH3,46,ANOTSUBTYPED,0,BYAMAGATA,3,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,39,0,AH1,,AH1N12009,142,AH3,52,ANOTSUBTYPED,0,BYAMAGATA,2,BVICTORIA,2,BNOTDETERMINED,1
AH5,2018,40,0,AH1,,AH1N12009,147,AH3,30,ANOTSUBTYPED,0,BYAMAGATA,4,BVICTORIA,3,BNOTDETERMINED,2
AH5,2018,41,0,AH1,,AH1N12009,126,AH3,31,ANOTSUBTYPED,0,BYAMAGATA,3,BVICTORIA,3,BNOTDETERMINED,0
AH5,2018,42,0,AH1,,AH1N12009,124,AH3,32,ANOTSUBTYPED,0,BYAMAGATA,2,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,43,0,AH1,,AH1N12009,177,AH3,29,ANOTSUBTYPED,0,BYAMAGATA,7,BVICTORIA,6,BNOTDETERMINED,0
AH5,2018,44,0,AH1,,AH1N12009,248,AH3,48,ANOTSUBTYPED,1,BYAMAGATA,11,BVICTORIA,4,BNOTDETERMINED,0
AH5,2018,45,0,AH1,,AH1N12009,295,AH3,80,ANOTSUBTYPED,0,BYAMAGATA,5,BVICTORIA,11,BNOTDETERMINED,2
AH5,2018,46,0,AH1,,AH1N12009,376,AH3,60,ANOTSUBTYPED,4,BYAMAGATA,8,BVICTORIA,6,BNOTDETERMINED,2
AH5,2018,47,0,AH1,,AH1N12009,608,AH3,69,ANOTSUBTYPED,0,BYAMAGATA,4,BVICTORIA,4,BNOTDETERMINED,6
AH5,2018,48,0,AH1,,AH1N12009,885,AH3,93,ANOTSUBTYPED,1,BYAMAGATA,8,BVICTORIA,10,BNOTDETERMINED,8
AH5,2018,49,0,AH1,,AH1N12009,1049,AH3,149,ANOTSUBTYPED,2,BYAMAGATA,5,BVICTORIA,4,BNOTDETERMINED,3
AH5,2018,50,0,AH1,,AH1N12009,1434,AH3,171,ANOTSUBTYPED,2,BYAMAGATA,8,BVICTORIA,15,BNOTDETERMINED,3
AH5,2018,51,0,AH1,,AH1N12009,2431,AH3,312,ANOTSUBTYPED,2,BYAMAGATA,2,BVICTORIA,19,BNOTDETERMINED,4
AH5,2018,52,0,AH1,,AH1N12009,3090,AH3,462,ANOTSUBTYPED,2,BYAMAGATA,2,BVICTORIA,17,BNOTDETERMINED,2
AH5,2019,1,0,AH1,,AH1N12009,4153,AH3,642,ANOTSUBTYPED,1,BYAMAGATA,6,BVICTORIA,27,BNOTDETERMINED,4
AH5,2019,2,0,AH1,,AH1N12009,6128,AH3,938,ANOTSUBTYPED,7,BYAMAGATA,7,BVICTORIA,44,BNOTDETERMINED,15
AH5,2019,3,0,AH1,,AH1N12009,7144,AH3,1183,ANOTSUBTYPED,17,BYAMAGATA,2,BVICTORIA,62,BNOTDETERMINED,18
AH5,2019,4,0,AH1,,AH1N12009,6519,AH3,1205,ANOTSUBTYPED,20,BYAMAGATA,1,BVICTORIA,75,BNOTDETERMINED,12
AH5,2019,5,0,AH1,,AH1N12009,5093,AH3,1117,ANOTSUBTYPED,29,BYAMAGATA,3,BVICTORIA,73,BNOTDETERMINED,27
AH5,2019,6,0,AH1,,AH1N12009,3021,AH3,883,ANOTSUBTYPED,1,BYAMAGATA,9,BVICTORIA,84,BNOTDETERMINED,8
AH5,2019,7,0,AH1,,AH1N12009,1821,AH3,575,ANOTSUBTYPED,1,BYAMAGATA,2,BVICTORIA,79,BNOTDETERMINED,2

