textbox2
Indonesia

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,8,0,AH1,,AH1N12009,4,AH3,10,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,14
AH5,2018,9,0,AH1,,AH1N12009,14,AH3,5,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,10
AH5,2018,10,0,AH1,,AH1N12009,8,AH3,4,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,8
AH5,2018,11,0,AH1,,AH1N12009,6,AH3,10,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,15
AH5,2018,12,0,AH1,,AH1N12009,3,AH3,11,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,11
AH5,2018,13,0,AH1,,AH1N12009,5,AH3,2,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,8
AH5,2018,14,0,AH1,,AH1N12009,7,AH3,8,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,8
AH5,2018,15,0,AH1,,AH1N12009,3,AH3,6,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,5
AH5,2018,16,0,AH1,,AH1N12009,2,AH3,7,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,12
AH5,2018,17,0,AH1,,AH1N12009,1,AH3,5,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,4
AH5,2018,18,0,AH1,,AH1N12009,6,AH3,6,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,16
AH5,2018,19,0,AH1,,AH1N12009,3,AH3,11,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,4
AH5,2018,20,0,AH1,,AH1N12009,7,AH3,6,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,3
AH5,2018,21,0,AH1,,AH1N12009,1,AH3,2,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,4
AH5,2018,22,0,AH1,,AH1N12009,1,AH3,5,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,4
AH5,2018,23,0,AH1,,AH1N12009,1,AH3,1,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,24,0,AH1,,AH1N12009,0,AH3,5,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
AH5,2018,25,0,AH1,,AH1N12009,0,AH3,3,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,2
AH5,2018,26,0,AH1,,AH1N12009,0,AH3,4,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,27,0,AH1,,AH1N12009,1,AH3,7,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,3
AH5,2018,28,0,AH1,,AH1N12009,1,AH3,2,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,29,0,AH1,,AH1N12009,1,AH3,4,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,30,0,AH1,,AH1N12009,2,AH3,1,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,31,0,AH1,,AH1N12009,0,AH3,1,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,32,0,AH1,,AH1N12009,0,AH3,5,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,33,0,AH1,,AH1N12009,4,AH3,3,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,2
AH5,2018,34,0,AH1,,AH1N12009,2,AH3,2,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
AH5,2018,35,0,AH1,,AH1N12009,1,AH3,3,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,36,0,AH1,,AH1N12009,0,AH3,0,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
AH5,2018,37,0,AH1,,AH1N12009,1,AH3,5,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,4
AH5,2018,38,0,AH1,,AH1N12009,1,AH3,0,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,2
AH5,2018,39,0,AH1,,AH1N12009,1,AH3,0,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,2
AH5,2018,40,0,AH1,,AH1N12009,0,AH3,2,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
