textbox2
India

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,8,,AH1,,AH1N12009,3,AH3,5,ANOTSUBTYPED,,BYAMAGATA,12,BVICTORIA,1,BNOTDETERMINED,6
AH5,2018,9,,AH1,,AH1N12009,0,AH3,3,ANOTSUBTYPED,,BYAMAGATA,5,BVICTORIA,,BNOTDETERMINED,3
AH5,2018,10,,AH1,,AH1N12009,1,AH3,,ANOTSUBTYPED,,BYAMAGATA,5,BVICTORIA,,BNOTDETERMINED,7
AH5,2018,11,,AH1,,AH1N12009,1,AH3,,ANOTSUBTYPED,,BYAMAGATA,2,BVICTORIA,1,BNOTDETERMINED,1
AH5,2018,12,,AH1,,AH1N12009,1,AH3,,ANOTSUBTYPED,,BYAMAGATA,3,BVICTORIA,1,BNOTDETERMINED,5
AH5,2018,13,,AH1,,AH1N12009,1,AH3,2,ANOTSUBTYPED,,BYAMAGATA,3,BVICTORIA,,BNOTDETERMINED,2
AH5,2018,14,,AH1,,AH1N12009,1,AH3,3,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,4
AH5,2018,15,,AH1,,AH1N12009,4,AH3,,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,3
AH5,2018,16,,AH1,,AH1N12009,1,AH3,,ANOTSUBTYPED,,BYAMAGATA,1,BVICTORIA,0,BNOTDETERMINED,8
AH5,2018,17,,AH1,,AH1N12009,1,AH3,,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,2
AH5,2018,18,,AH1,,AH1N12009,1,AH3,,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,4
AH5,2018,19,,AH1,,AH1N12009,,AH3,,ANOTSUBTYPED,,BYAMAGATA,1,BVICTORIA,1,BNOTDETERMINED,2
AH5,2018,20,,AH1,,AH1N12009,,AH3,,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,21,,AH1,,AH1N12009,1,AH3,0,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,2
AH5,2018,22,,AH1,,AH1N12009,,AH3,,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,2
AH5,2018,23,,AH1,,AH1N12009,0,AH3,1,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,5
AH5,2018,24,,AH1,,AH1N12009,,AH3,,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,2
AH5,2018,25,,AH1,,AH1N12009,,AH3,,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
