textbox2
Nepal

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,8,,AH1,,AH1N12009,6,AH3,25,ANOTSUBTYPED,,BYAMAGATA,6,BVICTORIA,,BNOTDETERMINED,15
AH5,2018,9,,AH1,,AH1N12009,4,AH3,20,ANOTSUBTYPED,,BYAMAGATA,7,BVICTORIA,,BNOTDETERMINED,8
AH5,2018,10,,AH1,,AH1N12009,8,AH3,15,ANOTSUBTYPED,,BYAMAGATA,4,BVICTORIA,2,BNOTDETERMINED,5
AH5,2018,11,,AH1,,AH1N12009,1,AH3,12,ANOTSUBTYPED,,BYAMAGATA,8,BVICTORIA,1,BNOTDETERMINED,6
AH5,2018,12,,AH1,,AH1N12009,2,AH3,9,ANOTSUBTYPED,,BYAMAGATA,6,BVICTORIA,1,BNOTDETERMINED,3
AH5,2018,13,,AH1,,AH1N12009,4,AH3,9,ANOTSUBTYPED,,BYAMAGATA,4,BVICTORIA,1,BNOTDETERMINED,3
AH5,2018,14,,AH1,,AH1N12009,1,AH3,8,ANOTSUBTYPED,,BYAMAGATA,1,BVICTORIA,1,BNOTDETERMINED,0
AH5,2018,15,,AH1,,AH1N12009,0,AH3,3,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,16,,AH1,,AH1N12009,1,AH3,1,ANOTSUBTYPED,,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,17,,AH1,,AH1N12009,1,AH3,1,ANOTSUBTYPED,,BYAMAGATA,1,BVICTORIA,,BNOTDETERMINED,0
