textbox2
Pakistan

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,8,0,AH1,,AH1N12009,19,AH3,5,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,7
AH5,2018,9,0,AH1,,AH1N12009,8,AH3,6,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,5
AH5,2018,10,0,AH1,,AH1N12009,4,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,11,0,AH1,,AH1N12009,1,AH3,1,ANOTSUBTYPED,0,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,3
AH5,2018,12,0,AH1,,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
AH5,2018,13,0,AH1,,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
AH5,2018,14,0,AH1,,AH1N12009,5,AH3,1,ANOTSUBTYPED,0,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,15,0,AH1,,AH1N12009,1,AH3,1,ANOTSUBTYPED,0,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,3
AH5,2018,16,0,AH1,,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,1
AH5,2018,17,0,AH1,,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
AH5,2018,18,0,AH1,,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
AH5,2018,19,0,AH1,,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,,BVICTORIA,,BNOTDETERMINED,0
