textbox2
Russian Federation

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,11,0,AH1,0,AH1N12009,570,AH3,388,ANOTSUBTYPED,38,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,538
AH5,2018,12,0,AH1,0,AH1N12009,549,AH3,382,ANOTSUBTYPED,87,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,551
AH5,2018,13,0,AH1,0,AH1N12009,756,AH3,471,ANOTSUBTYPED,57,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,550
AH5,2018,14,0,AH1,0,AH1N12009,664,AH3,448,ANOTSUBTYPED,45,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,485
AH5,2018,15,0,AH1,0,AH1N12009,465,AH3,395,ANOTSUBTYPED,39,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,387
AH5,2018,16,0,AH1,0,AH1N12009,381,AH3,301,ANOTSUBTYPED,13,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,307
AH5,2018,17,0,AH1,0,AH1N12009,266,AH3,274,ANOTSUBTYPED,24,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,199
AH5,2018,18,0,AH1,0,AH1N12009,132,AH3,100,ANOTSUBTYPED,9,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,90
AH5,2018,19,0,AH1,0,AH1N12009,85,AH3,93,ANOTSUBTYPED,2,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,72
AH5,2018,20,0,AH1,0,AH1N12009,54,AH3,72,ANOTSUBTYPED,2,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,60
AH5,2018,21,0,AH1,0,AH1N12009,27,AH3,28,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,24
AH5,2018,22,0,AH1,0,AH1N12009,31,AH3,27,ANOTSUBTYPED,3,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,31
AH5,2018,23,,AH1,0,AH1N12009,11,AH3,20,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,10
AH5,2018,24,0,AH1,0,AH1N12009,7,AH3,4,ANOTSUBTYPED,1,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,25,0,AH1,0,AH1N12009,3,AH3,2,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,26,0,AH1,0,AH1N12009,1,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,27,0,AH1,0,AH1N12009,4,AH3,2,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,28,0,AH1,0,AH1N12009,2,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,29,0,AH1,0,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,30,,AH1,0,AH1N12009,1,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,31,,AH1,0,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,32,,AH1,0,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,33,,AH1,0,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,1
AH5,2018,34,,AH1,0,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,35,,AH1,0,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,36,,AH1,0,AH1N12009,0,AH3,3,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,37,0,AH1,0,AH1N12009,0,AH3,1,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,38,,AH1,0,AH1N12009,0,AH3,1,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,39,,AH1,0,AH1N12009,2,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,40,0,AH1,0,AH1N12009,1,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,41,,AH1,0,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,42,0,AH1,0,AH1N12009,3,AH3,1,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
