textbox2
United States of America

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,11,0,AH1,0,AH1N12009,187,AH3,277,ANOTSUBTYPED,2374,BYAMAGATA,535,BVICTORIA,70,BNOTDETERMINED,3564
AH5,2018,12,0,AH1,0,AH1N12009,120,AH3,234,ANOTSUBTYPED,1968,BYAMAGATA,465,BVICTORIA,51,BNOTDETERMINED,3164
AH5,2018,13,0,AH1,0,AH1N12009,131,AH3,220,ANOTSUBTYPED,1703,BYAMAGATA,455,BVICTORIA,62,BNOTDETERMINED,3009
AH5,2018,14,0,AH1,0,AH1N12009,119,AH3,163,ANOTSUBTYPED,1128,BYAMAGATA,405,BVICTORIA,54,BNOTDETERMINED,2390
AH5,2018,15,0,AH1,0,AH1N12009,101,AH3,102,ANOTSUBTYPED,903,BYAMAGATA,297,BVICTORIA,40,BNOTDETERMINED,1971
AH5,2018,16,0,AH1,0,AH1N12009,51,AH3,86,ANOTSUBTYPED,593,BYAMAGATA,211,BVICTORIA,43,BNOTDETERMINED,1459
AH5,2018,17,0,AH1,0,AH1N12009,56,AH3,52,ANOTSUBTYPED,473,BYAMAGATA,135,BVICTORIA,28,BNOTDETERMINED,1129
AH5,2018,18,0,AH1,0,AH1N12009,39,AH3,31,ANOTSUBTYPED,349,BYAMAGATA,137,BVICTORIA,14,BNOTDETERMINED,747
AH5,2018,19,0,AH1,0,AH1N12009,16,AH3,20,ANOTSUBTYPED,191,BYAMAGATA,68,BVICTORIA,6,BNOTDETERMINED,475
AH5,2018,20,0,AH1,0,AH1N12009,16,AH3,10,ANOTSUBTYPED,176,BYAMAGATA,27,BVICTORIA,6,BNOTDETERMINED,246
