textbox5,textbox2,Textbox7
generated on 25/04/2019 13:01:59 UTC,Influenza transmission zone: South-East Asia,© World Health Organization 2019

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,17,0,AH1,0,AH1N12009,21,AH3,12,ANOTSUBTYPED,2,BYAMAGATA,6,BVICTORIA,4,BNOTDETERMINED,5
AH5,2018,18,0,AH1,0,AH1N12009,34,AH3,8,ANOTSUBTYPED,1,BYAMAGATA,6,BVICTORIA,1,BNOTDETERMINED,23
AH5,2018,19,0,AH1,0,AH1N12009,39,AH3,13,ANOTSUBTYPED,1,BYAMAGATA,8,BVICTORIA,5,BNOTDETERMINED,8
AH5,2018,20,0,AH1,0,AH1N12009,50,AH3,12,ANOTSUBTYPED,0,BYAMAGATA,7,BVICTORIA,1,BNOTDETERMINED,3
AH5,2018,21,0,AH1,0,AH1N12009,21,AH3,6,ANOTSUBTYPED,1,BYAMAGATA,7,BVICTORIA,0,BNOTDETERMINED,10
AH5,2018,22,0,AH1,0,AH1N12009,43,AH3,10,ANOTSUBTYPED,1,BYAMAGATA,4,BVICTORIA,0,BNOTDETERMINED,6
AH5,2018,23,0,AH1,0,AH1N12009,35,AH3,3,ANOTSUBTYPED,1,BYAMAGATA,4,BVICTORIA,1,BNOTDETERMINED,5
AH5,2018,24,0,AH1,0,AH1N12009,45,AH3,11,ANOTSUBTYPED,0,BYAMAGATA,3,BVICTORIA,1,BNOTDETERMINED,2
AH5,2018,25,0,AH1,0,AH1N12009,35,AH3,12,ANOTSUBTYPED,0,BYAMAGATA,5,BVICTORIA,2,BNOTDETERMINED,3
AH5,2018,26,0,AH1,0,AH1N12009,34,AH3,9,ANOTSUBTYPED,2,BYAMAGATA,7,BVICTORIA,2,BNOTDETERMINED,3
AH5,2018,27,0,AH1,0,AH1N12009,33,AH3,19,ANOTSUBTYPED,4,BYAMAGATA,5,BVICTORIA,2,BNOTDETERMINED,7
AH5,2018,28,0,AH1,0,AH1N12009,33,AH3,16,ANOTSUBTYPED,0,BYAMAGATA,4,BVICTORIA,1,BNOTDETERMINED,4
AH5,2018,29,0,AH1,0,AH1N12009,48,AH3,14,ANOTSUBTYPED,0,BYAMAGATA,10,BVICTORIA,3,BNOTDETERMINED,1
AH5,2018,30,0,AH1,0,AH1N12009,30,AH3,36,ANOTSUBTYPED,1,BYAMAGATA,7,BVICTORIA,2,BNOTDETERMINED,5
AH5,2018,31,0,AH1,0,AH1N12009,50,AH3,33,ANOTSUBTYPED,0,BYAMAGATA,8,BVICTORIA,3,BNOTDETERMINED,6
AH5,2018,32,0,AH1,0,AH1N12009,36,AH3,41,ANOTSUBTYPED,2,BYAMAGATA,3,BVICTORIA,4,BNOTDETERMINED,6
AH5,2018,33,0,AH1,0,AH1N12009,50,AH3,17,ANOTSUBTYPED,3,BYAMAGATA,5,BVICTORIA,1,BNOTDETERMINED,9
AH5,2018,34,0,AH1,0,AH1N12009,37,AH3,13,ANOTSUBTYPED,0,BYAMAGATA,5,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,35,0,AH1,0,AH1N12009,31,AH3,24,ANOTSUBTYPED,2,BYAMAGATA,10,BVICTORIA,2,BNOTDETERMINED,6
AH5,2018,36,0,AH1,0,AH1N12009,54,AH3,28,ANOTSUBTYPED,1,BYAMAGATA,4,BVICTORIA,1,BNOTDETERMINED,5
AH5,2018,37,0,AH1,0,AH1N12009,36,AH3,31,ANOTSUBTYPED,2,BYAMAGATA,10,BVICTORIA,0,BNOTDETERMINED,10
AH5,2018,38,0,AH1,0,AH1N12009,36,AH3,21,ANOTSUBTYPED,0,BYAMAGATA,6,BVICTORIA,0,BNOTDETERMINED,9
AH5,2018,39,0,AH1,0,AH1N12009,57,AH3,42,ANOTSUBTYPED,1,BYAMAGATA,4,BVICTORIA,3,BNOTDETERMINED,6
AH5,2018,40,0,AH1,0,AH1N12009,74,AH3,39,ANOTSUBTYPED,2,BYAMAGATA,18,BVICTORIA,5,BNOTDETERMINED,7
AH5,2018,41,0,AH1,0,AH1N12009,58,AH3,14,ANOTSUBTYPED,1,BYAMAGATA,1,BVICTORIA,0,BNOTDETERMINED,17
AH5,2018,42,0,AH1,0,AH1N12009,31,AH3,38,ANOTSUBTYPED,1,BYAMAGATA,6,BVICTORIA,1,BNOTDETERMINED,13
AH5,2018,43,0,AH1,0,AH1N12009,55,AH3,29,ANOTSUBTYPED,1,BYAMAGATA,0,BVICTORIA,4,BNOTDETERMINED,11
AH5,2018,44,0,AH1,0,AH1N12009,63,AH3,32,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,2,BNOTDETERMINED,10
AH5,2018,45,0,AH1,0,AH1N12009,54,AH3,38,ANOTSUBTYPED,0,BYAMAGATA,5,BVICTORIA,3,BNOTDETERMINED,15
AH5,2018,46,0,AH1,0,AH1N12009,50,AH3,40,ANOTSUBTYPED,3,BYAMAGATA,6,BVICTORIA,6,BNOTDETERMINED,13
AH5,2018,47,0,AH1,0,AH1N12009,66,AH3,54,ANOTSUBTYPED,4,BYAMAGATA,4,BVICTORIA,20,BNOTDETERMINED,11
AH5,2018,48,0,AH1,0,AH1N12009,46,AH3,53,ANOTSUBTYPED,0,BYAMAGATA,3,BVICTORIA,13,BNOTDETERMINED,23
AH5,2018,49,0,AH1,0,AH1N12009,39,AH3,53,ANOTSUBTYPED,0,BYAMAGATA,4,BVICTORIA,19,BNOTDETERMINED,17
AH5,2018,50,0,AH1,0,AH1N12009,18,AH3,37,ANOTSUBTYPED,0,BYAMAGATA,4,BVICTORIA,18,BNOTDETERMINED,8
AH5,2018,51,0,AH1,0,AH1N12009,35,AH3,34,ANOTSUBTYPED,4,BYAMAGATA,4,BVICTORIA,3,BNOTDETERMINED,8
AH5,2018,52,0,AH1,0,AH1N12009,36,AH3,24,ANOTSUBTYPED,1,BYAMAGATA,1,BVICTORIA,0,BNOTDETERMINED,11
AH5,2019,1,0,AH1,0,AH1N12009,27,AH3,13,ANOTSUBTYPED,0,BYAMAGATA,2,BVICTORIA,6,BNOTDETERMINED,1
AH5,2019,2,0,AH1,0,AH1N12009,38,AH3,29,ANOTSUBTYPED,3,BYAMAGATA,4,BVICTORIA,17,BNOTDETERMINED,3
AH5,2019,3,0,AH1,0,AH1N12009,49,AH3,20,ANOTSUBTYPED,3,BYAMAGATA,1,BVICTORIA,20,BNOTDETERMINED,7
AH5,2019,4,0,AH1,0,AH1N12009,53,AH3,17,ANOTSUBTYPED,1,BYAMAGATA,3,BVICTORIA,18,BNOTDETERMINED,5
AH5,2019,5,0,AH1,0,AH1N12009,43,AH3,26,ANOTSUBTYPED,0,BYAMAGATA,2,BVICTORIA,20,BNOTDETERMINED,3
AH5,2019,6,0,AH1,0,AH1N12009,21,AH3,8,ANOTSUBTYPED,0,BYAMAGATA,1,BVICTORIA,11,BNOTDETERMINED,5
AH5,2019,7,0,AH1,0,AH1N12009,40,AH3,22,ANOTSUBTYPED,5,BYAMAGATA,1,BVICTORIA,37,BNOTDETERMINED,5
AH5,2019,8,0,AH1,0,AH1N12009,42,AH3,23,ANOTSUBTYPED,1,BYAMAGATA,0,BVICTORIA,32,BNOTDETERMINED,9
AH5,2019,9,0,AH1,0,AH1N12009,57,AH3,28,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,67,BNOTDETERMINED,5
AH5,2019,10,0,AH1,0,AH1N12009,20,AH3,26,ANOTSUBTYPED,1,BYAMAGATA,0,BVICTORIA,48,BNOTDETERMINED,10
AH5,2019,11,0,AH1,0,AH1N12009,25,AH3,11,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,28,BNOTDETERMINED,36
AH5,2019,12,0,AH1,0,AH1N12009,23,AH3,23,ANOTSUBTYPED,0,BYAMAGATA,1,BVICTORIA,40,BNOTDETERMINED,15
AH5,2019,13,0,AH1,0,AH1N12009,14,AH3,8,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,8,BNOTDETERMINED,43
AH5,2019,14,0,AH1,0,AH1N12009,11,AH3,4,ANOTSUBTYPED,0,BYAMAGATA,1,BVICTORIA,8,BNOTDETERMINED,14
AH5,2019,15,0,AH1,0,AH1N12009,5,AH3,1,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,1,BNOTDETERMINED,12
AH5,2019,16,0,AH1,,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0

