textbox5,textbox2,Textbox7
generated on 11/03/2019 13:48:34 UTC,Influenza transmission zone: Eastern Asia,© World Health Organization 2019

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,11,0,AH1,0,AH1N12009,1274,AH3,266,ANOTSUBTYPED,3,BYAMAGATA,703,BVICTORIA,53,BNOTDETERMINED,390
AH5,2018,12,0,AH1,0,AH1N12009,926,AH3,207,ANOTSUBTYPED,0,BYAMAGATA,485,BVICTORIA,41,BNOTDETERMINED,219
AH5,2018,13,0,AH1,0,AH1N12009,622,AH3,187,ANOTSUBTYPED,4,BYAMAGATA,333,BVICTORIA,31,BNOTDETERMINED,133
AH5,2018,14,0,AH1,0,AH1N12009,388,AH3,140,ANOTSUBTYPED,2,BYAMAGATA,150,BVICTORIA,17,BNOTDETERMINED,55
AH5,2018,15,0,AH1,0,AH1N12009,312,AH3,114,ANOTSUBTYPED,1,BYAMAGATA,136,BVICTORIA,20,BNOTDETERMINED,31
AH5,2018,16,0,AH1,0,AH1N12009,248,AH3,116,ANOTSUBTYPED,1,BYAMAGATA,93,BVICTORIA,23,BNOTDETERMINED,19
AH5,2018,17,0,AH1,0,AH1N12009,236,AH3,75,ANOTSUBTYPED,0,BYAMAGATA,54,BVICTORIA,12,BNOTDETERMINED,10
AH5,2018,18,0,AH1,0,AH1N12009,183,AH3,54,ANOTSUBTYPED,0,BYAMAGATA,36,BVICTORIA,21,BNOTDETERMINED,9
AH5,2018,19,0,AH1,0,AH1N12009,144,AH3,58,ANOTSUBTYPED,0,BYAMAGATA,37,BVICTORIA,9,BNOTDETERMINED,8
AH5,2018,20,0,AH1,0,AH1N12009,130,AH3,54,ANOTSUBTYPED,1,BYAMAGATA,16,BVICTORIA,11,BNOTDETERMINED,13
