textbox5,textbox2,Textbox7
generated on 02/04/2019 01:10:09 UTC,Influenza transmission zone: South West Europe,© World Health Organization 2019

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,14,0,AH1,0,AH1N12009,147,AH3,132,ANOTSUBTYPED,428,BYAMAGATA,46,BVICTORIA,0,BNOTDETERMINED,487
AH5,2018,15,0,AH1,0,AH1N12009,101,AH3,128,ANOTSUBTYPED,206,BYAMAGATA,25,BVICTORIA,0,BNOTDETERMINED,286
AH5,2018,16,0,AH1,0,AH1N12009,39,AH3,86,ANOTSUBTYPED,112,BYAMAGATA,8,BVICTORIA,0,BNOTDETERMINED,119
AH5,2018,17,0,AH1,0,AH1N12009,15,AH3,44,ANOTSUBTYPED,51,BYAMAGATA,4,BVICTORIA,0,BNOTDETERMINED,64
AH5,2018,18,0,AH1,0,AH1N12009,2,AH3,37,ANOTSUBTYPED,15,BYAMAGATA,3,BVICTORIA,0,BNOTDETERMINED,26
AH5,2018,19,0,AH1,0,AH1N12009,6,AH3,20,ANOTSUBTYPED,10,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,4
AH5,2018,20,0,AH1,0,AH1N12009,3,AH3,11,ANOTSUBTYPED,6,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,5
AH5,2018,21,0,AH1,0,AH1N12009,0,AH3,7,ANOTSUBTYPED,9,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,1
AH5,2018,22,0,AH1,0,AH1N12009,0,AH3,4,ANOTSUBTYPED,3,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,1
AH5,2018,23,0,AH1,0,AH1N12009,0,AH3,1,ANOTSUBTYPED,2,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,24,0,AH1,0,AH1N12009,0,AH3,2,ANOTSUBTYPED,2,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,25,0,AH1,0,AH1N12009,1,AH3,1,ANOTSUBTYPED,2,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,26,0,AH1,0,AH1N12009,1,AH3,1,ANOTSUBTYPED,1,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,27,0,AH1,0,AH1N12009,1,AH3,0,ANOTSUBTYPED,2,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,28,0,AH1,0,AH1N12009,0,AH3,0,ANOTSUBTYPED,0,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,29,0,AH1,0,AH1N12009,2,AH3,1,ANOTSUBTYPED,1,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
AH5,2018,30,0,AH1,0,AH1N12009,1,AH3,0,ANOTSUBTYPED,1,BYAMAGATA,0,BVICTORIA,0,BNOTDETERMINED,0
