textbox5,textbox2,Textbox7
generated on 11/03/2019 12:32:14 UTC,Influenza transmission zone: North America,© World Health Organization 2019

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,11,0,AH1,0,AH1N12009,260,AH3,523,ANOTSUBTYPED,3181,BYAMAGATA,535,BVICTORIA,70,BNOTDETERMINED,4951
AH5,2018,12,0,AH1,0,AH1N12009,196,AH3,423,ANOTSUBTYPED,2519,BYAMAGATA,465,BVICTORIA,51,BNOTDETERMINED,4130
AH5,2018,13,0,AH1,0,AH1N12009,171,AH3,403,ANOTSUBTYPED,2161,BYAMAGATA,455,BVICTORIA,62,BNOTDETERMINED,3776
AH5,2018,14,0,AH1,0,AH1N12009,168,AH3,306,ANOTSUBTYPED,1564,BYAMAGATA,405,BVICTORIA,54,BNOTDETERMINED,3051
AH5,2018,15,0,AH1,0,AH1N12009,158,AH3,229,ANOTSUBTYPED,1273,BYAMAGATA,297,BVICTORIA,40,BNOTDETERMINED,2471
AH5,2018,16,0,AH1,0,AH1N12009,80,AH3,170,ANOTSUBTYPED,895,BYAMAGATA,211,BVICTORIA,43,BNOTDETERMINED,1781
AH5,2018,17,0,AH1,0,AH1N12009,91,AH3,114,ANOTSUBTYPED,687,BYAMAGATA,135,BVICTORIA,28,BNOTDETERMINED,1367
AH5,2018,18,0,AH1,0,AH1N12009,83,AH3,82,ANOTSUBTYPED,502,BYAMAGATA,137,BVICTORIA,14,BNOTDETERMINED,876
AH5,2018,19,0,AH1,0,AH1N12009,29,AH3,28,ANOTSUBTYPED,280,BYAMAGATA,68,BVICTORIA,6,BNOTDETERMINED,557
AH5,2018,20,0,AH1,0,AH1N12009,30,AH3,15,ANOTSUBTYPED,227,BYAMAGATA,27,BVICTORIA,6,BNOTDETERMINED,284
AH5,2018,21,0,AH1,0,AH1N12009,32,AH3,13,ANOTSUBTYPED,159,BYAMAGATA,20,BVICTORIA,4,BNOTDETERMINED,198
AH5,2018,22,0,AH1,0,AH1N12009,18,AH3,16,ANOTSUBTYPED,99,BYAMAGATA,11,BVICTORIA,2,BNOTDETERMINED,105
AH5,2018,23,0,AH1,0,AH1N12009,7,AH3,8,ANOTSUBTYPED,82,BYAMAGATA,9,BVICTORIA,3,BNOTDETERMINED,91
AH5,2018,24,0,AH1,0,AH1N12009,9,AH3,4,ANOTSUBTYPED,59,BYAMAGATA,8,BVICTORIA,3,BNOTDETERMINED,73
AH5,2018,25,0,AH1,0,AH1N12009,2,AH3,4,ANOTSUBTYPED,54,BYAMAGATA,6,BVICTORIA,3,BNOTDETERMINED,45
AH5,2018,26,0,AH1,0,AH1N12009,3,AH3,14,ANOTSUBTYPED,59,BYAMAGATA,1,BVICTORIA,0,BNOTDETERMINED,35
AH5,2018,27,0,AH1,0,AH1N12009,11,AH3,6,ANOTSUBTYPED,46,BYAMAGATA,6,BVICTORIA,0,BNOTDETERMINED,28
AH5,2018,28,0,AH1,0,AH1N12009,10,AH3,11,ANOTSUBTYPED,56,BYAMAGATA,3,BVICTORIA,2,BNOTDETERMINED,14
AH5,2018,29,0,AH1,0,AH1N12009,17,AH3,6,ANOTSUBTYPED,62,BYAMAGATA,4,BVICTORIA,2,BNOTDETERMINED,18
AH5,2018,30,0,AH1,0,AH1N12009,9,AH3,7,ANOTSUBTYPED,56,BYAMAGATA,0,BVICTORIA,2,BNOTDETERMINED,20
AH5,2018,31,0,AH1,0,AH1N12009,9,AH3,12,ANOTSUBTYPED,52,BYAMAGATA,1,BVICTORIA,0,BNOTDETERMINED,19
AH5,2018,32,0,AH1,0,AH1N12009,7,AH3,12,ANOTSUBTYPED,48,BYAMAGATA,2,BVICTORIA,0,BNOTDETERMINED,25
AH5,2018,33,0,AH1,0,AH1N12009,5,AH3,11,ANOTSUBTYPED,45,BYAMAGATA,2,BVICTORIA,0,BNOTDETERMINED,23
AH5,2018,34,0,AH1,0,AH1N12009,18,AH3,21,ANOTSUBTYPED,85,BYAMAGATA,1,BVICTORIA,0,BNOTDETERMINED,28
AH5,2018,35,0,AH1,0,AH1N12009,17,AH3,8,ANOTSUBTYPED,101,BYAMAGATA,2,BVICTORIA,0,BNOTDETERMINED,33
AH5,2018,36,0,AH1,0,AH1N12009,21,AH3,24,ANOTSUBTYPED,122,BYAMAGATA,1,BVICTORIA,0,BNOTDETERMINED,53
AH5,2018,37,0,AH1,0,AH1N12009,32,AH3,16,ANOTSUBTYPED,156,BYAMAGATA,4,BVICTORIA,0,BNOTDETERMINED,49
AH5,2018,38,0,AH1,0,AH1N12009,23,AH3,19,ANOTSUBTYPED,164,BYAMAGATA,2,BVICTORIA,0,BNOTDETERMINED,70
AH5,2018,39,0,AH1,0,AH1N12009,9,AH3,13,ANOTSUBTYPED,173,BYAMAGATA,3,BVICTORIA,0,BNOTDETERMINED,53
AH5,2018,40,0,AH1,0,AH1N12009,58,AH3,18,ANOTSUBTYPED,242,BYAMAGATA,11,BVICTORIA,7,BNOTDETERMINED,72
AH5,2018,41,0,AH1,0,AH1N12009,73,AH3,17,ANOTSUBTYPED,257,BYAMAGATA,5,BVICTORIA,3,BNOTDETERMINED,89
AH5,2018,42,0,AH1,0,AH1N12009,106,AH3,40,ANOTSUBTYPED,364,BYAMAGATA,14,BVICTORIA,2,BNOTDETERMINED,92
AH5,2018,43,0,AH1,0,AH1N12009,202,AH3,58,ANOTSUBTYPED,423,BYAMAGATA,13,BVICTORIA,0,BNOTDETERMINED,105
AH5,2018,44,0,AH1,0,AH1N12009,298,AH3,36,ANOTSUBTYPED,560,BYAMAGATA,8,BVICTORIA,1,BNOTDETERMINED,105
AH5,2018,45,0,AH1,0,AH1N12009,412,AH3,45,ANOTSUBTYPED,801,BYAMAGATA,7,BVICTORIA,4,BNOTDETERMINED,114
AH5,2018,46,0,AH1,0,AH1N12009,551,AH3,50,ANOTSUBTYPED,1022,BYAMAGATA,3,BVICTORIA,2,BNOTDETERMINED,108
AH5,2018,47,0,AH1,0,AH1N12009,718,AH3,70,ANOTSUBTYPED,1351,BYAMAGATA,5,BVICTORIA,2,BNOTDETERMINED,81
AH5,2018,48,0,AH1,0,AH1N12009,954,AH3,92,ANOTSUBTYPED,1686,BYAMAGATA,10,BVICTORIA,2,BNOTDETERMINED,114
AH5,2018,49,0,AH1,0,AH1N12009,1141,AH3,124,ANOTSUBTYPED,2523,BYAMAGATA,7,BVICTORIA,3,BNOTDETERMINED,171
AH5,2018,50,0,AH1,0,AH1N12009,1495,AH3,201,ANOTSUBTYPED,4619,BYAMAGATA,6,BVICTORIA,7,BNOTDETERMINED,205
AH5,2018,51,0,AH1,0,AH1N12009,1781,AH3,261,ANOTSUBTYPED,7193,BYAMAGATA,7,BVICTORIA,20,BNOTDETERMINED,209
AH5,2018,52,0,AH1,0,AH1N12009,1949,AH3,303,ANOTSUBTYPED,8503,BYAMAGATA,9,BVICTORIA,18,BNOTDETERMINED,253
AH5,2019,1,0,AH1,0,AH1N12009,2022,AH3,328,ANOTSUBTYPED,7776,BYAMAGATA,14,BVICTORIA,6,BNOTDETERMINED,172
AH5,2019,2,0,AH1,0,AH1N12009,2409,AH3,311,ANOTSUBTYPED,6942,BYAMAGATA,14,BVICTORIA,2,BNOTDETERMINED,266
AH5,2019,3,0,AH1,0,AH1N12009,1939,AH3,421,ANOTSUBTYPED,8061,BYAMAGATA,14,BVICTORIA,16,BNOTDETERMINED,218
AH5,2019,4,0,AH1,0,AH1N12009,1886,AH3,537,ANOTSUBTYPED,9483,BYAMAGATA,9,BVICTORIA,15,BNOTDETERMINED,295
AH5,2019,5,0,AH1,0,AH1N12009,1845,AH3,775,ANOTSUBTYPED,11668,BYAMAGATA,16,BVICTORIA,21,BNOTDETERMINED,318
AH5,2019,6,0,AH1,0,AH1N12009,1831,AH3,1012,ANOTSUBTYPED,13726,BYAMAGATA,6,BVICTORIA,11,BNOTDETERMINED,449
