textbox5,textbox2,Textbox7
generated on 11/03/2019 12:33:41 UTC,Influenza transmission zone: Temperate South America,© World Health Organization 2019

AH5_label,AH5_Chart01_CategoryGroup2_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_label,AH5_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1_label,AH1_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH1N12009_label,AH1N12009_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,AH3_label,AH3_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,ANOTSUBTYPED_label,ANOTSUBTYPED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BYAMAGATA_label,BYAMAGATA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BVICTORIA_label,BVICTORIA_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0,BNOTDETERMINED_label,BNOTDETERMINED_Chart01_CategoryGroup2_Chart01_CategoryGroup3_Value_DataValue0
AH5,2018,11,,AH1,0,AH1N12009,0,AH3,7,ANOTSUBTYPED,0,BYAMAGATA,3,BVICTORIA,0,BNOTDETERMINED,3
AH5,2018,12,,AH1,0,AH1N12009,2,AH3,11,ANOTSUBTYPED,1,BYAMAGATA,7,BVICTORIA,0,BNOTDETERMINED,3
AH5,2018,13,,AH1,0,AH1N12009,1,AH3,6,ANOTSUBTYPED,3,BYAMAGATA,1,BVICTORIA,0,BNOTDETERMINED,1
AH5,2018,14,,AH1,0,AH1N12009,4,AH3,11,ANOTSUBTYPED,0,BYAMAGATA,2,BVICTORIA,0,BNOTDETERMINED,2
AH5,2018,15,,AH1,0,AH1N12009,4,AH3,4,ANOTSUBTYPED,2,BYAMAGATA,5,BVICTORIA,0,BNOTDETERMINED,5
AH5,2018,16,,AH1,0,AH1N12009,3,AH3,9,ANOTSUBTYPED,1,BYAMAGATA,2,BVICTORIA,1,BNOTDETERMINED,4
AH5,2018,17,,AH1,0,AH1N12009,4,AH3,14,ANOTSUBTYPED,2,BYAMAGATA,4,BVICTORIA,1,BNOTDETERMINED,1
AH5,2018,18,,AH1,0,AH1N12009,4,AH3,13,ANOTSUBTYPED,5,BYAMAGATA,0,BVICTORIA,1,BNOTDETERMINED,3
AH5,2018,19,,AH1,0,AH1N12009,5,AH3,12,ANOTSUBTYPED,6,BYAMAGATA,2,BVICTORIA,0,BNOTDETERMINED,3
AH5,2018,20,,AH1,0,AH1N12009,7,AH3,28,ANOTSUBTYPED,2,BYAMAGATA,9,BVICTORIA,0,BNOTDETERMINED,8
